Buffalo,AMRAP (As Many Rounds As Possible),"You have 20 minutes on the clock, complete as many rounds as you can of:
100m run (or close to) - if you're an ""anti-runner"" complete 30 reverse lunges
10 DB* push presses - no DBs? Complete 10 jump squats
10 DB renegade rows (total)- no DBs? Complete 10 shoulder taps (total)
10 Mountain Climbers
*How heavy should the DBs be? That's totally up to you. Try between 5-10kg in each hand.
---
Take a rest to collect your breath and go for a second round → can you beat your original score?

Record how many rounds you completed.",,Chipper (you can chip away at it)
Meerkat,AMRAP (As Many Rounds As Possible),"You've got 10 minutes on the clock, complete as many rounds as possible:
10 alternating lunges (5 each leg, either forward, backward or jumping)
10m bear crawl (or close to 10m)
10 flutter kicks
Turn around and bear crawl back to the starting position
---
Take a rest to collect your breath and go for a second round → can you beat your original score?

Record how many rounds you completed.",,AMRAP (As Many Rounds As Possible)
Gorilla,AMRAP (As Many Rounds As Possible),"You've got 10 minutes to complete as many rounds as you can of:
5 hand-release push-ups
5 medicine ball/slam ball front squat (or KB front squat)
5 slam ball slams (or KB swings)
5 lunges (each leg, any style)
---
Take a rest to collect your breath and go for a second round → can you beat your original score?

Record how many rounds you completed.",,EMOM (Every Minute On the Minute)
Bear,AMRAP (As Many Rounds As Possible),"You've got 10 minutes to complete as many rounds as you can of:
10 step-ups (each leg) (or 10 box jumps)
10 DB overhead presses (or 10 DB push presses)
10 lunges (or 10 jumping lunges) (each leg)
Looking for an advanced option, try the options in brackets.
---
Take a rest to collect your breath and go for a second round → can you beat your original score?

Record how many rounds you completed.",,Ladder (AMRAP + 1 each round)
Crocodile,AMRAP (As Many Rounds As Possible),"You've got 10 minutes to complete as many rounds as you can of:
5 hand-release push-ups
5 medicine ball/slam ball front squat (or KB front squat)
5 slam ball slams (or KB swings)
5 lunges (each leg, any style)
---
Take a rest to collect your breath and go for a second round → can you beat your original score?

Record how many rounds you completed.",,Circuit
Lion,Chipper (you can chip away at it),"Complete in order:
10 walkouts (also known as an inchworm)
20 push-ups
30 lunges (total)
40 sit-ups
50 squats
If you'd like an intermediate → advanced challenge, start with 15 burpees and finish with 15 burpees.
---
Record your time.",,
Cheetah,Chipper (you can chip away at it),"Complete in order:
50 bodyweight squats
50 push-ups
50 sit-ups
If you'd like an intermediate to advanced challenge, try 100 or 200 reps of each exercise. You can do your reps in any order (e.g. 10 reps of each exercise for 5 rounds).
---
Record your time.",,
Leopard,Chipper (you can chip away at it),"Complete for time:
300 bodyweight squats
---
Record your time.",,
Tiger,Chipper (you can chip away at it),"Complete for time:
20 Box jumps
20 Pull-ups
20 Jumping jacks
20 Sit-ups
20 Walking lunges
20 Push-ups
20 Squats
20 Knee tucks
20 Burpees
If you'd like an extra challenge, try doing 30 reps of each exercise
---
Record your time.",,
Hyena,Chipper (you can chip away at it),"Complete for time:
30 push-ups
40 walking lunges (total)
50 jump squats (squat into a jump)
60 sit-ups
70 flutter kicks
If you'd like an extra challenge, start with 15 burpees and finish with 15 burpees.
---
Record your time.",,
